seed_idx,seed_alpha0_dec,seed_beta0_dec,seed_alpha0_hex,seed_beta0_hex,alpha0,beta0,alphaR,betaR,alpha0_hex,beta0_hex,alphaR_hex,betaR_hex,cw_total
376,17171,4575,0x4313,0x11df,,,,,,,,,inf
375,28960,61797,0x7120,0xf165,,,,,,,,,inf
374,25365,29220,0x6315,0x7224,,,,,,,,,inf
373,15371,17646,0x3c0b,0x44ee,,,,,,,,,inf
372,23373,23216,0x5b4d,0x5ab0,,,,,,,,,inf
371,7178,48905,0x1c0a,0xbf09,,,,,,,,,inf
370,64282,4322,0xfb1a,0x10e2,,,,,,,,,inf
369,8462,14572,0x210e,0x38ec,,,,,,,,,inf
368,21691,48915,0x54bb,0xbf13,,,,,,,,,inf
399,24648,64179,0x6048,0xfab3,,,,,,,,,inf
398,4152,54753,0x1038,0xd5e1,,,,,,,,,inf
397,41388,8538,0xa1ac,0x215a,,,,,,,,,inf
396,26784,12317,0x68a0,0x301d,,,,,,,,,inf
395,22029,21833,0x560d,0x5549,,,,,,,,,inf
394,64284,24317,0xfb1c,0x5efd,,,,,,,,,inf
393,53590,62219,0xd156,0xf30b,,,,,,,,,inf
392,38236,65530,0x955c,0xfffa,,,,,,,,,inf
391,8215,46881,0x2017,0xb721,,,,,,,,,inf
390,23305,42422,0x5b09,0xa5b6,,,,,,,,,inf
389,31947,58391,0x7ccb,0xe417,,,,,,,,,inf
388,14827,18063,0x39eb,0x468f,,,,,,,,,inf
387,38668,7022,0x970c,0x1b6e,,,,,,,,,inf
386,6507,12071,0x196b,0x2f27,,,,,,,,,inf
385,58685,51079,0xe53d,0xc787,,,,,,,,,inf
384,64788,9948,0xfd14,0x26dc,,,,,,,,,inf
415,37016,49247,0x9098,0xc05f,,,,,,,,,inf
414,30722,61818,0x7802,0xf17a,,,,,,,,,inf
413,63587,55647,0xf863,0xd95f,,,,,,,,,inf
412,56603,31792,0xdd1b,0x7c30,,,,,,,,,inf
411,45864,49549,0xb328,0xc18d,,,,,,,,,inf
410,43027,5812,0xa813,0x16b4,,,,,,,,,inf
409,30970,60832,0x78fa,0xeda0,,,,,,,,,inf
408,52924,28926,0xcebc,0x70fe,,,,,,,,,inf
407,31437,12373,0x7acd,0x3055,,,,,,,,,inf
406,61812,42048,0xf174,0xa440,,,,,,,,,inf
405,26159,24243,0x662f,0x5eb3,,,,,,,,,inf
404,216,8333,0xd8,0x208d,,,,,,,,,inf
403,44585,43698,0xae29,0xaab2,,,,,,,,,inf
402,49602,64927,0xc1c2,0xfd9f,,,,,,,,,inf
401,21095,54166,0x5267,0xd396,,,,,,,,,inf
400,1887,33477,0x75f,0x82c5,,,,,,,,,inf
431,45286,16138,0xb0e6,0x3f0a,,,,,,,,,inf
430,54269,42467,0xd3fd,0xa5e3,,,,,,,,,inf
429,517,22136,0x205,0x5678,,,,,,,,,inf
428,30599,59629,0x7787,0xe8ed,,,,,,,,,inf
427,33874,14343,0x8452,0x3807,,,,,,,,,inf
426,28474,52557,0x6f3a,0xcd4d,,,,,,,,,inf
425,40119,43008,0x9cb7,0xa800,,,,,,,,,inf
424,58620,63226,0xe4fc,0xf6fa,,,,,,,,,inf
423,59388,62277,0xe7fc,0xf345,,,,,,,,,inf
422,48702,17209,0xbe3e,0x4339,,,,,,,,,inf
421,39204,48801,0x9924,0xbea1,,,,,,,,,inf
420,50713,2460,0xc619,0x99c,,,,,,,,,inf
